Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"Russell Westbrook",6-3,28,81,81,31.5802,10.3704,10.666666666666666,0.425,0.845,0.343,1
"James Harden",6-5,27,81,81,29.0864,11.1852,8.135802469135802,0.44,0.847,0.347,1
"Isaiah Thomas",5-9,27,76,76,28.9342,5.9079,2.6973684210526314,0.463,0.909,0.379,1
"Anthony Davis",6-10,23,75,75,27.9867,2.0933,11.813333333333333,0.504,0.802,0.299,1
"DeMar DeRozan",6-7,27,74,74,27.2973,3.9189,5.216216216216216,0.467,0.842,0.266,1
"Damian Lillard",6-3,26,75,75,26.9867,5.8533,4.906666666666666,0.444,0.895,0.37,0
"DeMarcus Cousins",6-11,26,72,72,26.9722,4.6111,11.069444444444445,0.452,0.772,0.36,1
"LeBron James",6-8,32,74,74,26.4054,8.7297,8.64864864864865,0.548,0.674,0.363,1
"Kawhi Leonard",6-7,25,74,74,25.5135,3.5135,5.8108108108108105,0.485,0.88,0.381,1
"Stephen Curry",6-3,28,79,79,25.3038,6.6203,4.468354430379747,0.468,0.898,0.411,1
"Kyrie Irving",6-3,24,72,72,25.2222,5.8056,3.1944444444444446,0.473,0.905,0.401,1
"Karl-Anthony Towns",7-0,21,82,82,25.1341,2.6829,12.28048780487805,0.542,0.832,0.367,0
"Kevin Durant",6-9,28,62,62,25.0806,4.8387,8.274193548387096,0.537,0.875,0.375,1
"Jimmy Butler",6-8,27,76,75,23.8947,5.4868,6.184210526315789,0.455,0.865,0.367,0
"Paul George",6-9,26,75,75,23.6667,3.3467,6.56,0.461,0.898,0.393,1
"Andrew Wiggins",6-8,21,82,82,23.5732,2.3049,4.012195121951219,0.452,0.76,0.356,0
"Kemba Walker",6-1,26,79,79,23.1646,5.5063,3.8987341772151898,0.444,0.847,0.399,0
"John Wall",6-4,26,78,78,23.1410,10.6538,4.17948717948718,0.451,0.801,0.327,1
"Bradley Beal",6-5,23,77,77,23.1039,3.4675,3.103896103896104,0.482,0.825,0.404,0
"C.J. McCollum",6-3,25,80,80,22.9625,3.5625,3.6375,0.48,0.912,0.42,0
"Giannis Antetokounmpo",6-11,22,80,80,22.9000,5.4250,8.75,0.521,0.77,0.272,0
"Carmelo Anthony",6-8,32,74,74,22.4189,2.8784,5.891891891891892,0.433,0.833,0.359,0
"Kyle Lowry",6-0,30,60,60,22.4000,6.9500,4.8,0.464,0.819,0.412,1
"Klay Thompson",6-7,26,78,78,22.3333,2.0513,3.6538461538461537,0.468,0.853,0.414,1
"Devin Booker",6-6,20,78,78,22.1282,3.4359,3.1923076923076925,0.423,0.832,0.363,0
"Gordon Hayward",6-8,26,73,73,21.9315,3.4521,5.383561643835616,0.471,0.844,0.398,0
"Blake Griffin",6-10,27,61,61,21.5738,4.9180,8.131147540983607,0.493,0.76,0.336,1
"Eric Bledsoe",6-1,27,66,66,21.0606,6.3333,4.848484848484849,0.434,0.847,0.335,0
"Brook Lopez",7-0,28,75,75,20.5200,2.3467,5.373333333333333,0.474,0.81,0.346,0
"Mike Conley",6-1,29,69,68,20.5072,6.2754,3.5072463768115942,0.46,0.859,0.408,0
"Goran Dragic",6-3,30,73,73,20.3151,5.7945,3.808219178082192,0.475,0.79,0.405,0
"Joel Embiid",7-0,22,31,31,20.2258,2.1290,7.838709677419355,0.466,0.783,0.367,0
"Jabari Parker",6-8,21,51,50,20.0980,2.7843,6.1568627450980395,0.49,0.743,0.365,0
"Marc Gasol",7-1,32,74,74,19.5405,4.5676,6.243243243243243,0.459,0.837,0.388,0
"Harrison Barnes",6-8,24,79,79,19.2152,1.4810,5.025316455696203,0.468,0.861,0.351,0
"Kevin Love",6-10,28,60,60,19.0333,1.9333,11.1,0.427,0.871,0.373,0
"Zach LaVine",6-5,21,47,47,18.9149,2.9574,3.382978723404255,0.459,0.836,0.387,0
"Rudy Gay",6-8,30,30,30,18.7333,2.7333,6.333333333333333,0.455,0.855,0.372,0
"Dwyane Wade",6-4,35,60,59,18.2667,3.8167,4.516666666666667,0.434,0.794,0.31,0
"Danilo Gallinari",6-10,28,63,63,18.1746,2.1429,5.174603174603175,0.447,0.902,0.389,0
"Kristaps Porzingis",7-3,21,66,65,18.1212,1.4697,7.196969696969697,0.45,0.786,0.357,1
"Chris Paul",6-0,31,61,61,18.0984,9.2295,4.983606557377049,0.476,0.892,0.411,0
"Paul Millsap",6-8,31,69,67,18.0580,3.6522,7.72463768115942,0.442,0.768,0.311,0
"Derrick Rose",6-3,28,64,64,18.0313,4.4219,3.84375,0.471,0.874,0.217,0
"Dennis Schroder",6-1,23,79,78,17.8987,6.3165,3.1392405063291138,0.451,0.855,0.34,0
"Lou Williams",6-1,30,81,1,17.5432,2.9506,2.493827160493827,0.429,0.88,0.365,0
"LaMarcus Aldridge",6-11,31,72,72,17.2639,1.9306,7.277777777777778,0.477,0.812,0.411,0
"Evan Fournier",6-7,24,68,66,17.1618,2.9706,3.073529411764706,0.439,0.805,0.356,0
"Hassan Whiteside",7-0,27,77,77,17.0000,0.7403,14.12987012987013,0.557,0.628,,0
"George Hill",6-3,30,49,49,16.9184,4.1429,3.4081632653061225,0.477,0.801,0.403,0
"Nikola Jokic",6-10,21,73,59,16.7260,4.9178,9.835616438356164,0.578,0.825,0.324,0
"Avery Bradley",6-2,26,55,55,16.2545,2.2000,6.072727272727272,0.463,0.731,0.39,0
"Eric Gordon",6-4,28,75,15,16.2267,2.5067,2.68,0.406,0.84,0.372,0
"Tobias Harris",6-9,24,82,48,16.1098,1.7317,5.073170731707317,0.481,0.841,0.347,0
"Victor Oladipo",6-4,24,67,67,15.9254,2.6269,4.343283582089552,0.442,0.753,0.361,1
"Dion Waiters",6-4,25,46,43,15.8478,4.3478,3.347826086956522,0.424,0.646,0.395,0
"Wilson Chandler",6-8,29,71,33,15.7324,1.9859,6.464788732394366,0.461,0.727,0.337,0
"D'Angelo Russell",6-5,20,63,60,15.6190,4.8095,3.5238095238095237,0.405,0.782,0.352,0
